Season,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr
1979,5,Seattle SuperSonics,26.8,52,30,48,34,2.72,-0.03,2.69,102.7,100.1,+2.6,103.4,.307
1979,6,Kansas City Kings,25.7,48,34,48,34,2.88,-0.15,2.73,104.5,101.9,+2.6,107.3,.313
1979,7,Milwaukee Bucks,24.8,38,44,47,35,2.22,-0.10,2.12,106.0,104.0,+2.0,106.5,.260
1979,8,Atlanta Hawks,24.6,46,36,47,35,2.09,-0.16,1.92,105.6,103.6,+2.0,102.5,.342
1979,9,Philadelphia 76ers,26.4,47,35,46,36,1.85,-0.11,1.74,102.0,100.3,+1.7,106.7,.329
1979,10,Denver Nuggets,26.2,47,35,44,38,1.28,-0.04,1.24,104.4,103.2,+1.2,105.9,.389
1979,11,Portland Trail Blazers,25.6,45,37,44,38,1.26,-0.14,1.12,104.3,103.1,+1.2,103.4,.322
1979,12,Houston Rockets,27.6,47,35,43,39,0.98,-0.06,0.92,108.7,107.7,+1.0,103.8,.311
1979,13,Golden State Warriors,25.2,38,44,42,40,0.38,0.08,0.46,102.4,102.0,+0.4,102.2,.251
1979,14,Indiana Pacers,25.0,38,44,37,45,-1.60,0.19,-1.41,103.0,104.5,-1.5,105.3,.308
1979,15,San Diego Clippers,27.3,43,39,37,45,-1.78,0.02,-1.76,106.2,107.9,-1.7,106.3,.321
1979,16,Detroit Pistons,25.4,30,52,34,48,-2.67,0.07,-2.60,102.1,104.6,-2.5,107.2,.287
1979,17,New York Knicks,25.7,31,51,32,50,-3.38,0.09,-3.29,102.2,105.4,-3.2,104.9,.279
1979,18,Cleveland Cavaliers,27.3,30,52,31,51,-3.72,0.15,-3.57,103.7,107.3,-3.6,102.7,.277
1979,19,New Jersey Nets,25.7,37,45,30,52,-4.17,0.17,-4.00,98.0,101.8,-3.8,109.5,.347
1979,20,Chicago Bulls,26.2,31,51,31,51,-3.96,0.18,-3.78,101.3,105.1,-3.8,102.9,.307
1979,21,Boston Celtics,27.5,29,53,28,54,-5.05,0.27,-4.78,101.6,106.4,-4.8,106.5,.316
1979,22,New Orleans Jazz,26.7,26,56,26,56,-6.24,0.28,-5.97,99.6,105.4,-5.8,108.6,.321
1980,1,Boston Celtics,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,+7.5,102.6,.332
1980,2,Los Angeles Lakers,26.2,60,22,55,27,5.90,-0.51,5.40,109.5,103.9,+5.6,104.1,.284
1980,3,Seattle SuperSonics,27.0,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,+4.6,101.8,.298
1980,4,Philadelphia 76ers,27.0,59,23,52,30,4.22,-0.18,4.04,105.0,101.0,+4.0,103.0,.340
1980,5,Milwaukee Bucks,25.3,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,+3.9,102.4,.278
1980,6,Phoenix Suns,26.5,55,27,50,32,3.60,-0.35,3.25,105.6,102.2,+3.4,104.8,.341
1980,7,Kansas City Kings,25.5,47,35,49,33,3.13,-0.32,2.82,104.0,101.0,+3.0,103.2,.300
1980,8,Atlanta Hawks,26.1,50,32,49,33,2.91,-0.09,2.83,105.2,102.3,+2.9,98.9,.376
1980,9,Cleveland Cavaliers,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,+0.3,105.6,.274
1980,10,Houston Rockets,27.3,41,41,41,41,0.17,0.10,0.27,108.1,108.0,+0.1,101.2,.310
1980,11,San Antonio Spurs,26.9,41,41,40,42,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,.327
1980,12,Indiana Pacers,25.3,37,45,39,43,-0.70,0.16,-0.54,105.5,106.2,-0.7,104.4,.303
1980,13,Portland Trail Blazers,26.3,38,44,39,43,-0.82,-0.05,-0.87,103.4,104.3,-0.9,98.6,.293
1980,14,New Jersey Nets,26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,.321
1980,15,New York Knicks,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,.296
1980,16,Washington Bullets,29.0,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,.263
1980,17,Chicago Bulls,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,.373
1980,18,San Diego Clippers,27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,.289
1980,19,Denver Nuggets,27.1,30,52,30,52,-4.41,0.20,-4.22,103.4,107.6,-4.2,103.9,.340
1980,20,Golden State Warriors,26.3,24,58,29,53,-4.39,0.20,-4.20,102.0,106.3,-4.3,100.5,.262
1980,21,Utah Jazz,26.1,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,.285
1980,22,Detroit Pistons,24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,.283
1981,1,Philadelphia 76ers,27.2,62,20,60,22,7.85,-0.09,7.76,107.0,99.5,+7.5,103.4,.343
1981,2,Milwaukee Bucks,26.6,60,22,59,23,7.27,-0.13,7.14,108.7,101.8,+6.9,103.6,.313
1981,3,Boston Celtics,27.0,62,20,56,26,5.88,0.17,6.05,108.4,102.6,+5.8,100.8,.334
1981,4,Phoenix Suns,25.7,57,25,55,27,5.51,-0.68,4.83,104.6,99.4,+5.2,104.7,.332
1981,5,Los Angeles Lakers,27.0,54,28,51,31,3.84,-0.57,3.27,107.6,103.9,+3.7,102.7,.286
1981,6,San Antonio Spurs,26.7,52,30,48,34,2.88,-0.70,2.18,108.5,105.7,+2.8,102.9,.367
1981,7,Chicago Bulls,26.5,45,37,46,36,1.98,0.37,2.34,107.8,105.8,+2.0,100.6,.371
1981,8,New York Knicks,25.1,50,32,45,37,1.62,0.38,2.00,106.0,104.4,+1.6,101.0,.329
1981,9,Indiana Pacers,26.0,44,38,45,37,1.40,0.32,1.72,106.4,105.0,+1.4,100.9,.351
1981,10,Portland Trail Blazers,25.7,45,37,43,39,0.89,-0.37,0.52,106.5,105.7,+0.8,103.0,.291
1981,11,Houston Rockets,26.8,40,42,42,40,0.33,-0.53,-0.20,107.0,106.7,+0.3,100.5,.303
1981,12,Washington Bullets,28.6,39,43,41,41,0.01,0.41,0.42,102.7,102.7,0.0,102.4,.276
1981,13,Kansas City Kings,26.2,40,42,41,41,0.01,-0.51,-0.49,104.7,104.7,0.0,101.3,.308
1981,14,Denver Nuggets,26.8,37,45,40,42,-0.48,-0.47,-0.95,109.4,109.8,-0.4,109.8,.383
1981,15,Golden State Warriors,24.4,39,43,38,44,-1.18,-0.23,-1.41,108.5,109.7,-1.2,101.0,.345
1981,16,San Diego Clippers,27.6,36,46,37,45,-1.59,-0.20,-1.78,106.0,107.6,-1.6,100.2,.308
1981,17,Seattle SuperSonics,26.8,34,48,37,45,-1.65,-0.20,-1.84,103.2,104.8,-1.6,100.3,.333
1981,18,Atlanta Hawks,26.8,31,51,33,49,-3.10,0.73,-2.37,104.3,107.3,-3.0,99.4,.377
1981,19,Cleveland Cavaliers,25.7,28,54,29,53,-4.85,0.70,-4.15,104.3,109.1,-4.8,100.8,.251
1981,20,New Jersey Nets,25.2,24,58,26,56,-6.02,0.87,-5.15,101.0,106.7,-5.7,105.2,.324
1981,21,Utah Jazz,25.3,28,54,26,56,-5.89,-0.10,-5.99,103.4,109.4,-6.0,97.7,.305
1981,22,Detroit Pistons,24.3,21,61,24,58,-6.32,0.74,-5.58,98.1,104.3,-6.2,101.2,.334
1981,23,Dallas Mavericks,24.8,15,67,20,62,-8.40,0.07,-8.33,102.4,110.8,-8.4,98.6,.359
1982,1,Boston Celtics,27.3,63,19,57,25,6.38,-0.03,6.35,109.8,103.5,+6.3,101.5,.335
1982,2,Philadelphia 76ers,28.1,58,24,56,26,5.73,0.00,5.74,109.6,103.9,+5.7,100.6,.354
1982,3,Milwaukee Bucks,27.3,55,27,55,27,5.48,-0.10,5.38,107.7,102.3,+5.4,100.0,.332
1982,4,Los Angeles Lakers,26.8,57,25,53,29,4.87,-0.50,4.37,110.2,105.5,+4.7,103.1,.285
1982,5,Seattle SuperSonics,26.4,52,30,52,30,4.13,-0.45,3.69,106.4,102.3,+4.1,100.0,.329
1982,6,Phoenix Suns,26.4,46,36,50,32,3.45,-0.40,3.05,105.8,102.4,+3.4,99.5,.302
1982,7,San Antonio Spurs,26.1,48,34,47,35,2.30,-0.52,1.79,109.9,107.6,+2.3,102.5,.307
1982,8,Golden State Warriors,25.1,45,37,44,38,1.04,-0.24,0.80,108.8,107.7,+1.1,101.4,.324
1982,9,Washington Bullets,26.0,43,39,43,39,0.88,0.19,1.06,103.3,102.5,+0.8,99.4,.294
1982,10,New Jersey Nets,25.1,44,38,43,39,0.68,0.18,0.87,103.0,102.3,+0.7,103.1,.326
1982,11,Portland Trail Blazers,24.7,42,40,43,39,0.60,-0.21,0.39,108.8,108.2,+0.6,100.5,.332
1982,12,Atlanta Hawks,26.5,42,40,43,39,0.54,0.27,0.81,105.1,104.6,+0.5,95.1,.352
1982,13,Denver Nuggets,27.0,46,36,42,40,0.52,-0.40,0.13,114.3,113.9,+0.4,109.8,.389
1982,14,Houston Rockets,28.3,46,36,41,41,-0.04,-0.36,-0.39,108.3,108.3,0.0,97.2,.302
1982,15,Detroit Pistons,24.4,39,43,39,43,-0.91,0.28,-0.63,105.8,106.6,-0.8,104.3,.349
1982,16,Indiana Pacers,27.0,35,47,36,46,-1.87,0.38,-1.49,102.7,104.6,-1.9,98.7,.304
1982,17,Chicago Bulls,26.5,34,48,36,46,-2.02,0.45,-1.57,106.6,108.6,-2.0,99.0,.378
1982,18,New York Knicks,28.0,33,49,34,48,-2.67,0.52,-2.15,106.0,108.6,-2.6,99.5,.302
1982,19,Kansas City Kings,24.0,30,52,33,49,-3.10,-0.15,-3.25,104.2,107.2,-3.0,101.8,.296
1982,20,Dallas Mavericks,24.4,28,54,29,53,-4.43,-0.06,-4.48,105.9,110.4,-4.5,98.5,.328
1982,21,Utah Jazz,24.9,25,57,27,55,-5.66,0.03,-5.63,106.2,111.7,-5.5,103.9,.306
1982,22,San Diego Clippers,25.4,17,65,23,59,-7.39,0.34,-7.05,106.6,113.8,-7.2,101.4,.330
1982,23,Cleveland Cavaliers,26.1,15,67,20,62,-8.51,0.74,-7.77,103.3,111.8,-8.5,99.3,.297
1983,1,Philadelphia 76ers,26.7,65,17,60,22,7.67,-0.14,7.53,108.3,100.9,+7.4,102.7,.367
1983,2,Los Angeles Lakers,26.9,58,24,55,27,5.55,-0.49,5.06,110.5,105.2,+5.3,103.8,.270
1983,3,Boston Celtics,27.3,56,26,55,27,5.35,-0.01,5.34,106.9,101.8,+5.1,104.0,.311
1983,4,Phoenix Suns,26.6,53,29,54,28,5.06,-0.45,4.61,105.1,100.1,+5.0,101.6,.306
1983,5,Milwaukee Bucks,28.1,51,31,53,29,4.40,-0.08,4.32,105.8,101.4,+4.4,100.0,.322
1983,6,San Antonio Spurs,27.2,53,29,50,32,3.66,-0.56,3.10,110.1,106.6,+3.5,103.3,.336
1983,7,Seattle SuperSonics,27.4,48,34,49,33,3.21,-0.33,2.88,105.9,102.8,+3.1,103.2,.338
1983,8,New Jersey Nets,25.2,49,33,49,33,2.77,0.01,2.77,101.6,98.9,+2.7,104.0,.322
1983,9,New York Knicks,26.5,44,38,48,34,2.45,0.13,2.58,102.4,99.9,+2.5,97.0,.336
1983,10,Portland Trail Blazers,25.5,46,36,47,35,2.13,-0.25,1.88,106.0,103.9,+2.1,101.0,.353
1983,11,Kansas City Kings,24.5,45,37,45,37,1.45,-0.41,1.04,106.2,104.9,+1.3,106.6,.338
1983,12,Denver Nuggets,27.2,45,37,42,40,0.62,-0.36,0.27,109.7,109.1,+0.6,112.1,.337
1983,13,Washington Bullets,25.8,42,40,41,41,-0.13,0.33,0.20,99.1,99.3,-0.2,99.4,.292
1983,14,Detroit Pistons,24.6,37,45,40,42,-0.40,0.24,-0.17,105.4,105.8,-0.4,105.8,.340
1983,15,Dallas Mavericks,24.2,38,44,40,42,-0.41,-0.29,-0.70,109.4,109.8,-0.4,102.8,.326
1983,16,Atlanta Hawks,26.6,43,39,38,44,-0.95,0.23,-0.72,102.2,103.2,-1.0,98.9,.295
1983,17,Golden State Warriors,24.7,30,52,32,50,-3.62,0.14,-3.48,103.9,107.4,-3.5,104.0,.293
1983,18,Utah Jazz,25.8,30,52,30,52,-4.20,-0.03,-4.22,101.2,105.1,-3.9,107.3,.332
1983,19,Chicago Bulls,24.5,28,54,29,53,-4.89,0.48,-4.41,103.4,108.0,-4.6,106.1,.365
1983,20,San Diego Clippers,24.8,25,57,29,53,-4.83,0.22,-4.61,104.7,109.3,-4.6,103.0,.288
1983,21,Indiana Pacers,24.9,20,62,27,55,-5.85,0.49,-5.36,103.8,109.4,-5.6,103.9,.247
1983,22,Cleveland Cavaliers,26.4,23,59,22,60,-7.44,0.66,-6.78,99.2,106.8,-7.6,97.6,.283
1983,23,Houston Rockets,29.0,14,68,14,68,-11.60,0.48,-11.12,97.0,108.3,-11.3,102.2,.260
1984,1,Boston Celtics,28.0,62,20,57,25,6.56,-0.14,6.42,110.9,104.4,+6.5,99.7,.333
1984,2,Milwaukee Bucks,28.4,50,32,52,30,4.16,-0.12,4.04,107.8,103.6,+4.2,96.9,.338
1984,3,New York Knicks,27.2,47,35,51,31,3.84,-0.05,3.79,107.0,103.1,+3.9,99.0,.367
1984,4,Los Angeles Lakers,27.5,54,28,50,32,3.76,-0.44,3.32,110.9,107.3,+3.6,103.7,.313
1984,5,Portland Trail Blazers,25.8,48,34,50,32,3.55,-0.42,3.13,111.2,107.7,+3.5,101.1,.367
1984,6,Detroit Pistons,25.4,49,33,50,32,3.59,-0.06,3.52,111.5,108.1,+3.4,103.8,.322
1984,7,Philadelphia 76ers,27.7,52,30,47,35,2.20,0.20,2.39,106.8,104.6,+2.2,99.6,.396
1984,8,New Jersey Nets,25.5,45,37,44,38,1.10,0.17,1.27,106.1,105.0,+1.1,103.0,.343
1984,9,Utah Jazz,26.9,45,37,44,38,1.13,-0.32,0.81,109.0,108.0,+1.0,104.9,.374
1984,10,Phoenix Suns,27.2,41,41,43,39,0.89,-0.24,0.65,108.9,108.0,+0.9,101.4,.305
1984,11,Dallas Mavericks,24.7,43,39,42,40,0.43,-0.27,0.15,110.0,109.6,+0.4,99.0,.325
1984,12,Seattle SuperSonics,27.1,42,40,41,41,-0.17,-0.17,-0.34,107.9,108.1,-0.2,99.7,.347
1984,13,San Antonio Spurs,27.4,37,45,40,42,-0.27,-0.23,-0.50,111.2,111.4,-0.2,106.5,.337
1984,14,Denver Nuggets,27.0,38,44,38,44,-1.10,-0.17,-1.27,111.3,112.3,-1.0,110.5,.337
1984,15,Atlanta Hawks,26.6,40,42,37,45,-1.29,0.22,-1.08,105.5,106.9,-1.4,95.3,.355
1984,16,Kansas City Kings,26.2,38,44,37,45,-1.48,-0.15,-1.62,106.5,108.0,-1.5,102.9,.345
1984,17,Houston Rockets,26.8,29,53,33,49,-3.09,-0.04,-3.12,105.3,108.2,-2.9,104.7,.284
1984,18,Washington Bullets,26.2,35,47,33,49,-2.89,0.53,-2.36,104.2,107.2,-3.0,97.4,.319
1984,19,San Diego Clippers,25.5,30,52,33,49,-3.26,0.04,-3.21,109.2,112.4,-3.2,101.1,.331
1984,20,Golden State Warriors,25.6,37,45,32,50,-3.40,0.05,-3.35,105.5,108.8,-3.3,103.3,.342
1984,21,Cleveland Cavaliers,25.4,28,54,30,52,-4.26,0.55,-3.71,104.1,108.5,-4.4,97.4,.301
1984,22,Indiana Pacers,24.4,26,56,28,54,-4.82,0.57,-4.25,101.8,106.5,-4.7,102.1,.297
1984,23,Chicago Bulls,24.4,27,55,28,54,-5.18,0.50,-4.69,102.4,107.5,-5.1,99.8,.360
1985,1,Los Angeles Lakers,27.4,62,20,58,24,7.35,-0.87,6.48,114.1,107.0,+7.1,103.2,.308
1985,2,Milwaukee Bucks,25.7,59,23,58,24,6.85,-0.16,6.69,110.5,103.6,+6.9,99.7,.341
1985,3,Boston Celtics,28.5,63,19,57,25,6.65,-0.18,6.47,112.8,106.3,+6.5,101.6,.315
1985,4,Philadelphia 76ers,27.9,58,24,51,31,4.10,0.07,4.17,111.3,107.3,+4.0,100.8,.412
1985,5,Portland Trail Blazers,25.2,42,40,49,33,3.40,-0.60,2.80,110.4,107.2,+3.2,103.5,.362
1985,6,Detroit Pistons,26.9,46,36,47,35,2.49,0.24,2.73,109.6,107.2,+2.4,105.0,.283
1985,7,Denver Nuggets,28.3,52,30,47,35,2.44,-0.39,2.05,110.7,108.4,+2.3,107.6,.322
1985,8,Dallas Mavericks,25.0,44,38,47,35,2.17,-0.37,1.80,111.5,109.3,+2.2,98.8,.319
1985,9,Houston Rockets,25.3,48,34,45,37,1.72,-0.34,1.38,107.9,106.3,+1.6,102.2,.304
1985,10,San Antonio Spurs,28.1,41,41,43,39,0.91,-0.29,0.63,109.9,109.0,+0.9,103.9,.357
1985,11,New Jersey Nets,26.5,42,40,42,40,0.23,0.41,0.64,107.9,107.7,+0.2,101.0,.300
1985,12,Utah Jazz,27.0,41,41,41,41,-0.11,-0.22,-0.33,103.3,103.4,-0.1,105.1,.333
1985,13,Washington Bullets,27.1,40,42,40,42,-0.27,0.42,0.15,104.3,104.6,-0.3,100.3,.269
1985,14,Chicago Bulls,25.2,38,44,39,43,-0.84,0.34,-0.50,108.7,109.6,-0.9,99.4,.366
1985,15,Atlanta Hawks,25.5,34,48,37,45,-1.45,0.31,-1.14,105.9,107.3,-1.4,99.8,.333
1985,16,Phoenix Suns,26.4,36,46,35,47,-2.11,-0.23,-2.34,104.7,106.8,-2.1,102.5,.319
1985,17,Kansas City Kings,26.1,31,51,34,48,-2.67,-0.04,-2.71,109.5,112.1,-2.6,104.4,.357
1985,18,Cleveland Cavaliers,26.6,36,46,34,48,-2.76,0.48,-2.27,106.0,108.7,-2.7,101.9,.338
1985,19,Los Angeles Clippers,27.3,31,51,30,52,-4.49,-0.07,-4.55,105.8,110.3,-4.5,100.9,.310
1985,20,New York Knicks,25.8,24,58,29,53,-4.63,0.54,-4.09,104.9,109.6,-4.7,99.5,.331
1985,21,Seattle SuperSonics,26.4,31,51,27,55,-5.44,0.00,-5.44,102.8,108.2,-5.4,99.3,.334
1985,22,Indiana Pacers,24.1,22,60,26,56,-6.21,0.75,-5.46,102.5,108.4,-5.9,105.1,.344
1985,23,Golden State Warriors,26.1,22,60,24,58,-7.34,0.13,-7.21,106.0,113.0,-7.0,103.2,.335
1986,1,Boston Celtics,29.3,67,15,63,19,9.41,-0.36,9.06,111.8,102.6,+9.2,101.2,.307
1986,2,Milwaukee Bucks,26.0,57,25,62,20,9.04,-0.35,8.69,111.4,102.7,+8.7,102.1,.369
1986,3,Los Angeles Lakers,28.1,62,20,59,23,7.74,-0.91,6.84,113.3,105.8,+7.5,102.7,.317
1986,4,Houston Rockets,26.0,51,31,48,34,2.61,-0.51,2.10,110.1,107.6,+2.5,103.5,.317
1986,5,Atlanta Hawks,25.3,50,32,47,35,2.37,0.22,2.59,107.9,105.6,+2.3,100.0,.385
1986,6,Philadelphia 76ers,28.0,54,28,47,35,2.35,0.11,2.46,108.6,106.3,+2.3,100.5,.398
1986,7,Denver Nuggets,28.1,47,35,44,38,1.30,-0.42,0.89,107.1,105.9,+1.2,106.7,.307
1986,8,Dallas Mavericks,25.8,44,38,44,38,1.10,-0.40,0.70,112.1,111.0,+1.1,102.2,.364
1986,9,Detroit Pistons,26.5,46,36,44,38,1.17,0.27,1.44,109.0,107.9,+1.1,104.2,.297
1986,10,Portland Trail Blazers,26.6,40,42,44,38,1.06,-0.45,0.61,109.2,108.2,+1.0,104.5,.384
1986,11,Seattle SuperSonics,26.6,31,51,41,41,-0.10,-0.37,-0.47,105.9,106.0,-0.1,97.4,.330
1986,12,Utah Jazz,26.3,42,40,40,42,-0.37,-0.30,-0.67,104.2,104.6,-0.4,103.3,.380
1986,13,San Antonio Spurs,27.8,35,47,36,46,-1.85,-0.20,-2.06,106.5,108.2,-1.7,103.8,.355
1986,14,Washington Bullets,27.1,39,43,36,46,-1.80,0.53,-1.28,103.0,104.8,-1.8,99.1,.320
1986,15,New Jersey Nets,27.5,39,43,36,46,-1.99,0.60,-1.39,105.0,106.9,-1.9,103.3,.328
1986,16,Cleveland Cavaliers,27.0,29,53,34,48,-2.87,0.68,-2.19,105.5,108.3,-2.8,101.6,.321
1986,17,Phoenix Suns,26.3,32,50,33,49,-2.99,-0.17,-3.16,104.3,107.2,-2.9,104.8,.384
1986,18,Sacramento Kings,26.6,37,45,33,49,-3.07,-0.12,-3.19,106.2,109.2,-3.0,102.0,.324
1986,19,Indiana Pacers,25.0,26,56,32,50,-3.33,0.67,-2.66,102.6,105.9,-3.3,100.9,.305
1986,20,Golden State Warriors,26.8,30,52,33,49,-3.45,-0.14,-3.59,108.3,111.6,-3.3,104.2,.333
1986,21,Chicago Bulls,26.6,30,52,31,51,-3.80,0.69,-3.12,108.6,112.4,-3.8,99.7,.346
1986,22,New York Knicks,25.5,23,59,26,56,-5.61,0.79,-4.82,99.5,105.2,-5.7,98.6,.318
1986,23,Los Angeles Clippers,27.0,32,50,24,58,-6.93,0.10,-6.83,105.4,112.1,-6.7,102.7,.374
1987,1,Los Angeles Lakers,27.8,65,17,62,20,9.30,-0.99,8.32,115.6,106.5,+9.1,101.6,.352
1987,2,Atlanta Hawks,26.1,57,25,59,23,7.23,-0.05,7.18,112.6,105.2,+7.4,97.4,.373
1987,3,Boston Celtics,29.4,59,23,57,25,6.65,-0.08,6.57,113.5,106.8,+6.7,98.6,.305
1987,4,Dallas Mavericks,26.4,55,27,56,26,6.30,-0.77,5.54,114.9,108.7,+6.2,100.5,.369
1987,5,Milwaukee Bucks,27.7,50,32,51,31,3.91,0.12,4.04,109.5,105.6,+3.9,100.3,.350
